"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1786","Prev",0,0.193415110773595,0.145592337851645,0.17029600728054,0.115039821151,1
"1787","Prev",0,0.187949275328846,0.175593663353849,0.172212808508352,0.124662430309494,1
"1788","TH",1,0.716170576387099,0.625476925121538,0.618642098076947,0.575911217288099,1
"1789","Prev",0,0.228739025322664,0.237649317356054,0.24978530869992,0.165835922937097,1
"1790","RRH",1,0.699342487114531,0.673973922674754,0.711802650450477,0.598887066135647,1
"1791","ES",1,0.300334258238222,0.245941055013803,0.240519145297342,NA,0
"1792","ES",1,0.700881468257663,0.633895610914546,0.631826752759874,NA,0
"1793","ES",0,0.5414942926406,0.505283298415942,0.488591633501337,NA,0
"1794","ES",0,0.649736435812801,0.570382725115876,0.616888783374861,NA,0
"1795","ES",0,0.335848508004172,0.340326132584021,0.295248343470984,0.253208277844155,1
"1796","ES",1,0.439713708374084,0.452846892527451,0.383334501657999,0.337994537531441,1
"1797","ES",1,0.470018463136297,0.389001409672706,0.42607460980166,NA,0
"1798","Prev",0,0.27879178518826,0.267094615533429,0.281657917687451,0.200188361691957,1
"1799","Prev",1,0.25946717418798,0.237764832151611,0.241343254295325,0.164428726026813,1
"1800","Prev",0,0.131845132125628,0.131981704933425,0.112656939719859,0.0902020170935562,1
"1801","ES",0,0.257883337037543,0.303609892206817,0.254043017906615,NA,0
"1802","Prev",0,0.20812156148159,0.205110979386934,0.183587838396105,0.125194361404799,1
"1803","Prev",0,0.362384355781637,0.390383908899721,0.363700346019995,0.29325915020059,1
"1804","Prev",1,0.330916800592205,0.360032854832256,0.338610809333363,0.248126858867301,1
"1805","TH",0,0.50355364187012,0.419054743332319,0.490460949234316,0.376835584411754,1
"1806","ES",0,0.348904694788174,0.307290074089332,0.304106745327664,0.235869001823614,1
"1807","Prev",1,0.438751471152977,0.397008478323827,0.411475736299474,0.37803070371582,1
"1808","Prev",0,0.413570292557652,0.304811602774558,0.382466800540401,0.260388283415557,1
"1809","Prev",0,0.358856884261099,0.361645861231889,0.336441105856634,0.247731881969905,1
"1810","ES",0,0.269991671981226,0.196105886774959,0.266412238956181,0.17465238991888,1
"1811","RRH",1,0.654630274551063,0.544827970592572,0.684463145728787,NA,0
